MASCARA,NR_ANO,NO_DISTRITO,CODMUNIC,NO_MUNICIPIO,EH_CAPITAL,SG_UF,NO_UF,NO_REGIAO,IN_FUNCIONAMENTO,IN_DEP_ADM,IN_NATUREZA,QT_SERV_SEM_ESCOLARIDADE,QT_SERV_COM_1GRAU,QT_SERV_COM_2GRAU,QT_SERV_COM_SUPERIOR,QT_SERV_COM_ESPECIALIZACAO,QT_SERV_COM_MESTRADO,QT_SERV_COM_DOUTORADO,QT_TOTAL_SERVIDORES,QT_TOTAL_SERVIDORES_ESTAB,QT_DOCEN_FEMI_AFAST,QT_DOCEN_MASC_AFAST,QT_DOCEN_MASC_EXERC,QT_DOCEN_FEMI_EXERC,QT_DOCEN_AFAST_CURS_POS,QT_DOCEN_AFAST_OUTROS_MOT,QT_DOCEN_PARC_SEM_GRADU,QT_DOCEN_INT_SEM_GRADU,QT_DOCEN_PARC_GRADU,QT_DOCEN_INT_GRADU,QT_DOCEN_PARC_ESPEC,QT_DOCEN_INT_ESPEC,QT_DOCEN_PARC_MESTRADO,QT_DOCEN_INT_MESTRADO,QT_DOCEN_PARC_DOUTORADO,QT_DOCEN_INT_DOUTORADO
584,1995,BELO JARDIM,260300801706,BELO JARDIM,N,PE,Pernambuco,NORDESTE,1,4,4,0.0,0.0,0,0,0,0,0,40,0,0,0,30,10,0,0,0,0,7,0,33,0,0,0,0,0
142,1995,FORMIGA,310904426109,FORMIGA,N,MG,Minas Gerais,SUDESTE,1,4,4,0.0,0.0,0,0,0,0,0,4,0,0,0,0,14,0,0,0,0,4,0,10,0,0,0,0,0
796,1995,GOIANESIA,520300608608,GOIANESIA,N,GO,Goias,CENTRO-OESTE,1,2,4,0.0,0.0,0,0,0,0,0,16,0,0,0,3,14,0,0,0,0,5,0,12,0,0,0,0,0
236,1995,CATAGUASES,311206615300,CATAGUASES,N,MG,Minas Gerais,SUDESTE,1,4,4,0.0,0.0,0,0,0,0,0,18,0,1,0,13,21,0,1,0,0,0,7,0,25,0,2,0,0
205,1995,VOLTA REDONDA,330501106305,VOLTA REDONDA,N,RJ,Rio de Janeiro,SUDESTE,1,4,3,,,0,0,0,0,0,111,0,5,8,196,62,4,9,0,0,30,0,188,0,26,0,14,0
622,1995,ASSIS,351003904008,ASSIS,N,SP,Sao Paulo,SUDESTE,1,4,4,0.0,0.0,0,0,0,0,0,12,0,0,0,11,12,0,0,0,0,21,0,0,0,1,0,1,0
24,1995,SAO PAULO,351506150308,SAO PAULO,S,SP,Sao Paulo,SUDESTE,1,4,4,0.0,0.0,0,0,0,0,0,3,0,6,0,4,11,0,6,0,0,6,0,5,0,3,0,1,0
199,1995,PETROPOLIS,330601503906,PETROPOLIS,N,RJ,Rio de Janeiro,SUDESTE,1,4,1,94.0,33.0,76,52,4,9,0,0,268,0,2,180,85,0,2,0,0,167,7,47,2,34,2,5,1
845,1995,JACAREZINHO,410401611803,JACAREZINHO,N,PR,Parana,SUL,1,2,4,0.0,0.0,0,0,0,0,0,27,0,4,1,26,41,3,2,0,0,14,3,24,20,1,5,0,0
742,1995,MACAE,330200402403,MACAE,N,RJ,Rio de Janeiro,SUDESTE,1,4,4,0.0,0.0,0,0,0,0,0,14,0,3,2,7,21,0,5,0,0,2,0,21,0,3,0,2,0
121,1995,BELFORD ROXO,330601800456,BELFORD ROXO,N,RJ,Rio de Janeiro,SUDESTE,1,4,3,,,0,0,0,0,0,53,0,1,1,76,26,0,2,0,0,12,0,64,0,20,0,6,0
479,1995,FORTALEZA,230301604400,FORTALEZA,S,CE,Ceara,NORDESTE,1,1,1,652.0,522.0,1441,1140,9,8,4,0,3776,83,87,819,440,133,37,0,0,46,173,46,170,38,454,13,319
650,1995,PORTO ALEGRE,430502614902,PORTO ALEGRE,S,RS,Rio Grando do Sul,SUL,1,4,4,0.0,0.0,0,0,0,0,0,25,0,1,1,25,48,2,0,0,0,2,0,40,0,27,2,2,0
741,1995,PELOTAS,430703314407,PELOTAS,N,RS,Rio Grando do Sul,SUL,1,4,1,62.0,41.0,83,69,19,0,1,0,275,24,57,239,150,44,37,0,0,157,0,175,0,41,0,16,0
363,1995,CAMPINAS,350703209502,CAMPINAS,N,SP,Sao Paulo,SUDESTE,1,4,1,408.0,182.0,341,152,0,0,0,0,1083,25,32,717,557,13,44,0,0,329,68,386,81,229,51,107,23
87,1995,CENTRO,220200311001,TERESINA,S,PI,Piaui,NORDESTE,1,4,4,0.0,0.0,0,0,0,0,0,38,0,0,0,19,4,0,0,0,0,0,0,20,0,3,0,0,0
68,1995,IBICARAI,290703112103,IBICARAI,N,BA,Bahia,NORDESTE,1,4,4,0.0,0.0,0,0,0,0,0,3,0,0,0,4,10,0,0,0,0,5,0,8,0,1,0,0,0
351,1995,ANAPOLIS,520300701108,ANAPOLIS,N,GO,Goias,CENTRO-OESTE,1,2,1,0.0,23.0,36,32,5,0,0,0,96,0,3,82,71,0,3,0,0,13,20,43,61,7,7,0,2
